mcp_id,customer_name,email,phone,credit_limit,kyc_date,status,region,industry,country,zip_code,subscription_plan,signup_date,last_login,total_transactions,total_spent,preferred_category,loyalty_points,data
CUST011,Sims Inc,vnelson@brown.com,9973724328,16870,7/31/2021,inactive,Reyesville,Logistics,Netherlands Antilles,75145,Standard,1/4/2024,5/27/2024,153,13550.76,Electronics,866,"{""preferred_contact"":""mobile""}"
CUST012,Wiley-Williams,angela46@logan.net,9495799157,12066,3/19/2022,active,East Devinside,Construction,Lithuania,26222,Standard,1/27/2025,5/6/2025,19,15571.73,Fashion,4266,"{""preferred_contact"":""email""}"
CUST013,West PLC,huntervicki@miranda.com,7838728000,20260,8/15/2023,active,Jessicaton,Agriculture,Anguilla,13350,Premium,3/19/2025,9/25/2025,177,408.04,Electronics,4223,"{""preferred_contact"":""email""}"
CUST014,"Ramos, Castro and Walton",robert75@herrera-johnson.com,6414681097,23011,10/28/2020,inactive,Harrisberg,Manufacturing,Guam,63462,Basic,7/20/2025,7/30/2025,174,16509.94,Books,2443,"{""preferred_contact"":""email""}"
CUST015,"Smith, Finley and Campbell",williamstimothy@roberts.com,4492042189,10224,8/11/2023,inactive,North Kevin,Logistics,Austria,14221,Premium,10/7/2021,10/16/2025,57,11294.3,Sports,4820,"{""preferred_contact"":""email""}"
CUST016,Schaefer-Townsend,sheryl22@davis.com,9581791649,27384,8/4/2023,inactive,Schmitttown,Construction,Saint Helena,88751,Basic,4/8/2022,6/24/2025,13,4567.85,Grocery,2355,"{""preferred_contact"":""mobile""}"
CUST017,"Weeks, Hernandez and Roman",jacqueline65@reed.com,362017301,40022,6/12/2025,active,Chavezton,Agriculture,Nigeria,57784,Basic,8/30/2025,8/31/2025,34,7089.72,Books,760,"{""preferred_contact"":""mobile""}"
CUST018,Hurley LLC,brittanybowen@shelton-porter.com,9154340410,24939,4/15/2025,inactive,Fowlerhaven,Construction,Palestinian Territory,91896,Premium,2/18/2021,5/1/2024,55,3483.08,Books,2118,"{""preferred_contact"":""mobile""}"
CUST019,Morrison-Shaw,dhicks@thompson.com,3436531100,19239,8/16/2024,active,Katrinaville,Retail,Afghanistan,43958,Premium,7/23/2022,6/8/2023,18,7049.55,Electronics,1247,"{""preferred_contact"":""mobile""}"
CUST020,"Allison, Taylor and Smith",mwalton@davis.com,8852623027,34954,8/8/2022,inactive,Erinstad,Construction,Bahrain,23517,Premium,5/11/2024,6/28/2025,44,6409.29,Grocery,3933,"{""preferred_contact"":""mobile""}"
CUST021,Lee-Johnson,joseatkins@bernard-campbell.net,2216568548,7028,9/12/2025,inactive,Braunville,Construction,Azerbaijan,78314,Basic,7/21/2025,8/28/2025,96,10510.22,Books,1973,"{""preferred_contact"":""mobile""}"
CUST022,Mason Group,daniel21@anthony.info,6844659752,14297,10/6/2022,inactive,South Brett,Agriculture,Bulgaria,78307,Basic,10/1/2022,2/16/2023,96,7482.14,Fashion,2780,"{""preferred_contact"":""mobile""}"
CUST023,Martinez-Bridges,tbarrett@zavala-norton.com,5593387458,14641,6/16/2024,active,Gregorystad,Logistics,Chile,83704,Premium,5/27/2021,1/29/2025,41,16329.06,Grocery,3294,"{""preferred_contact"":""mobile""}"
CUST024,Gray LLC,amanda43@richmond.com,9124232567,49760,9/23/2021,inactive,Robertsville,Construction,Sao Tome and Principe,69578,Basic,4/7/2024,12/26/2024,107,5253.15,Books,4936,"{""preferred_contact"":""email""}"
CUST025,Wong Ltd,zrussell@villegas-combs.com,7059941768,43712,8/7/2024,active,Haleyside,Energy,Hungary,30094,Standard,10/21/2024,1/21/2025,31,7036.45,Books,4567,"{""preferred_contact"":""email""}"
CUST026,Morrison LLC,hornebenjamin@davenport.org,303175834,46315,11/29/2023,active,Dawnville,Energy,Benin,94437,Basic,9/9/2022,9/20/2025,103,19676.31,Fashion,3262,"{""preferred_contact"":""email""}"
CUST027,Foley Ltd,dperez@martinez-jones.com,9574265247,8126,1/4/2025,inactive,Pamelaville,Retail,Macao,5300,Premium,5/21/2022,5/9/2023,189,6788.28,Grocery,2568,"{""preferred_contact"":""email""}"
CUST028,Smith-Delgado,asmith@brown-reynolds.org,9691602149,15257,11/6/2021,active,Grossport,Retail,Kiribati,31917,Premium,10/13/2022,9/21/2023,76,9410.5,Books,641,"{""preferred_contact"":""email""}"
CUST029,"Smith, Williamson and Mills",melanie02@robinson-armstrong.com,7813848309,9727,11/11/2021,active,Parkerport,Logistics,Jordan,59987,Standard,5/17/2024,6/19/2025,197,8204.59,Fashion,2436,"{""preferred_contact"":""email""}"
CUST030,Brown-Nelson,brandonsanders@smith.com,7847157196,35593,2/17/2022,active,Gonzalezfort,Manufacturing,United States of America,67325,Premium,12/7/2023,6/26/2025,19,7827.73,Electronics,1132,"{""preferred_contact"":""email""}"
CUST031,"Jensen, Gonzales and White",ramostyler@herrera-adkins.com,262138105,27296,5/9/2024,inactive,West Heather,Construction,France,87616,Basic,1/2/2025,2/5/2025,102,4388.96,Grocery,1130,"{""preferred_contact"":""email""}"
CUST032,Wise PLC,tammycarter@howard-delgado.com,4011366319,47942,12/22/2024,active,North Jamie,Logistics,North Macedonia,68891,Standard,12/6/2022,12/27/2023,140,8766.2,Fashion,3756,"{""preferred_contact"":""email""}"
CUST033,Singleton-Sanchez,omartinez@rodriguez.com,3664265294,7604,5/29/2021,active,Rebeccahaven,IT,Finland,77419,Basic,5/22/2025,10/6/2025,64,18240.68,Grocery,4720,"{""preferred_contact"":""email""}"
CUST034,Ward-Hardy,rachel66@dudley-decker.com,859370874,11094,4/18/2025,inactive,Williamview,IT,Morocco,21519,Basic,6/2/2023,8/21/2025,195,19955.26,Fashion,1973,"{""preferred_contact"":""email""}"
CUST035,Francis-Smith,huberbrenda@thompson.com,3411236690,16880,11/9/2023,inactive,New Amberbury,Retail,Swaziland,24065,Basic,6/5/2025,7/26/2025,199,13683.33,Grocery,627,"{""preferred_contact"":""email""}"
CUST036,"Irwin, Hoffman and Hamilton",nherring@vincent.com,9205731019,34261,1/19/2021,active,Lake Michelle,Logistics,Burkina Faso,44148,Standard,10/26/2024,11/30/2024,106,16327.39,Books,2614,"{""preferred_contact"":""email""}"
CUST037,"Lopez, Campbell and Santiago",leslie04@logan-humphrey.com,693708582,8720,2/12/2025,active,North Stefanie,Retail,Guatemala,92731,Basic,8/5/2025,8/22/2025,143,14062.67,Sports,2287,"{""preferred_contact"":""email""}"
CUST038,Knox PLC,melissabradley@morales-thompson.com,6866795797,33964,10/27/2024,inactive,Wrightburgh,Agriculture,Morocco,93633,Basic,9/5/2025,10/8/2025,100,14327.57,Books,4929,"{""preferred_contact"":""email""}"
CUST039,Garcia Group,benitezmichele@black-bell.com,8478216524,36376,1/9/2021,inactive,Timothyville,Logistics,Samoa,91555,Standard,6/15/2023,8/2/2024,173,2374.43,Electronics,2568,"{""preferred_contact"":""email""}"
CUST040,Thomas PLC,hurleyrebecca@smith-haynes.info,6268440881,41814,4/8/2024,active,New Dylanmouth,IT,Venezuela,54076,Basic,12/15/2020,9/24/2021,141,11177.21,Sports,3062,"{""preferred_contact"":""email""}"
CUST041,Ray PLC,ashleyerickson@little.com,9930367685,25019,9/7/2022,active,Bryanview,Logistics,China,58661,Premium,12/12/2021,7/3/2023,156,5032.66,Grocery,3259,"{""preferred_contact"":""mobile""}"
CUST042,"Patterson, Zhang and Tapia",blogan@buchanan.com,4937623832,43680,12/31/2020,inactive,New Jeremiahmouth,Retail,Turks and Caicos Islands,90975,Basic,1/31/2022,6/23/2025,31,18349.03,Fashion,317,"{""preferred_contact"":""mobile""}"
CUST043,Huynh-Wang,deannabailey@ruiz.com,555405960,35894,7/20/2021,active,Jefferyfurt,Logistics,Russian Federation,22541,Premium,5/3/2022,10/22/2024,31,11538.95,Grocery,3633,"{""preferred_contact"":""mobile""}"
CUST044,"Andrews, Lawson and Hall",meganwelch@garcia.com,2725101415,34740,3/6/2023,inactive,North Melissa,Energy,Brunei Darussalam,8241,Premium,3/30/2023,4/11/2024,145,14782.39,Fashion,2564,"{""preferred_contact"":""mobile""}"
CUST045,Bailey Group,elizabethbaker@bird-cook.com,2018202675,40158,4/27/2022,active,Rubenport,Logistics,Vanuatu,84867,Standard,4/16/2023,6/5/2023,21,3830.3,Fashion,1611,"{""preferred_contact"":""email""}"
CUST046,Thomas Ltd,logan61@yoder-mccarthy.com,2828273087,10874,12/19/2022,inactive,East Adrianberg,Logistics,Saint Kitts and Nevis,6031,Basic,12/4/2024,9/15/2025,87,16507.07,Electronics,1183,"{""preferred_contact"":""email""}"
CUST047,Frazier-Ochoa,tammy37@perez.com,3298588983,40326,6/20/2023,active,Port Thomas,Agriculture,United Arab Emirates,75495,Standard,5/21/2023,9/13/2024,9,15098.58,Fashion,4289,"{""preferred_contact"":""email""}"
CUST048,"Martin, Todd and Rodriguez",craigcarrillo@mora.org,4487508185,6794,8/25/2021,active,Rebeccastad,IT,Kyrgyz Republic,60126,Premium,11/12/2020,11/29/2020,40,11574.61,Fashion,1533,"{""preferred_contact"":""email""}"
CUST049,"Pace, Santos and Rogers",beth41@barrett-johnson.com,3519814587,12825,6/24/2025,active,Calvintown,Agriculture,Congo,62652,Premium,11/21/2023,1/28/2024,51,4068.76,Sports,2366,"{""preferred_contact"":""email""}"
CUST050,"Stevens, Castillo and Johnson",omartinez@lyons-navarro.com,8106057459,46425,2/23/2022,inactive,Catherinestad,Construction,Sudan,53900,Premium,7/19/2021,12/5/2023,69,4881.29,Grocery,4823,"{""preferred_contact"":""email""}"
CUST051,Middleton and Sons,qgalloway@camacho.net,5172488664,36404,9/26/2025,inactive,North Matthewberg,Manufacturing,Canada,32177,Premium,6/7/2022,2/6/2025,115,16750.99,Fashion,4775,"{""preferred_contact"":""email""}"
CUST052,"Durham, Ellis and Phillips",angelabaker@boone-blackburn.info,2324798511,45616,11/12/2020,active,South Jacobtown,Energy,Macao,34828,Standard,10/28/2023,2/21/2024,113,13596.55,Books,841,"{""preferred_contact"":""email""}"
CUST053,Barrett-Hoffman,dgraham@jackson-merritt.com,8908626297,16972,1/11/2025,active,Port Jacquelineburgh,IT,Congo,75621,Premium,6/2/2022,12/3/2024,54,236.24,Sports,3281,"{""preferred_contact"":""email""}"
CUST054,"Lopez, Harvey and Daniels",dylanwilkins@martin.com,3693753254,7854,2/6/2021,inactive,Markland,Manufacturing,Saint Barthelemy,13341,Standard,1/9/2023,5/7/2025,16,10426.49,Books,1236,"{""preferred_contact"":""email""}"
CUST055,Reyes-Avery,dgarcia@miller-miller.com,3117881200,48730,12/7/2023,active,North Gregoryburgh,IT,Thailand,67789,Premium,5/17/2021,7/15/2022,56,18568.48,Fashion,1525,"{""preferred_contact"":""email""}"
CUST056,Herrera Ltd,lindsey09@bean.info,6466780464,15735,4/18/2024,active,East Aaron,Energy,Argentina,22229,Standard,7/24/2024,5/11/2025,18,18958.63,Electronics,298,"{""preferred_contact"":""mobile""}"
CUST057,"Paul, Cook and Perry",tbell@gibbs-norman.org,4937638425,26033,11/23/2024,active,West Denise,Agriculture,China,64800,Premium,5/8/2025,6/9/2025,173,15516.24,Sports,112,"{""preferred_contact"":""mobile""}"
CUST058,Robertson Inc,kaitlyntaylor@fox-sanders.biz,8550086478,5937,10/24/2022,inactive,Sloanland,Manufacturing,Cayman Islands,81736,Premium,10/26/2023,11/30/2024,144,18540.37,Grocery,2180,"{""preferred_contact"":""mobile""}"
CUST059,Wheeler-White,ashleybradley@knight-brooks.com,963619867,43460,4/21/2025,inactive,Jamesbury,IT,Norway,84915,Standard,9/19/2024,11/8/2024,132,5173.59,Sports,2860,"{""preferred_contact"":""mobile""}"
CUST060,Morris-Carey,mthompson@hall.com,1636934680,15758,9/10/2025,inactive,West Jessicahaven,Construction,Niger,5939,Premium,5/22/2025,9/26/2025,180,15072.91,Electronics,2932,"{""preferred_contact"":""email""}"
CUST061,"Blair, Bryant and Simmons",graychristopher@sanford.com,2235349693,25663,11/28/2023,active,North Kyle,Logistics,Saint Lucia,56361,Standard,6/16/2021,12/6/2024,125,19546.64,Electronics,4648,"{""preferred_contact"":""email""}"
CUST062,Clark Inc,felicia44@adams.com,2626560703,19378,11/7/2022,inactive,New Adam,Manufacturing,South Georgia and the South Sandwich Islands,10774,Basic,5/22/2022,10/10/2022,169,8062.51,Sports,1925,"{""preferred_contact"":""email""}"
CUST063,Molina-White,janet28@moore.com,3395544133,29938,6/26/2021,active,Boydland,Agriculture,Israel,7572,Standard,4/24/2021,12/15/2024,154,1084.94,Fashion,837,"{""preferred_contact"":""email""}"
CUST064,Townsend and Sons,michaelwells@vaughn.org,8373004759,21603,2/3/2021,active,Jonestown,Retail,Malta,5079,Basic,5/11/2021,9/7/2023,143,12904.51,Books,4931,"{""preferred_contact"":""email""}"
CUST065,"Moore, Mathews and Baker",annstone@martinez.org,629262382,47574,4/16/2022,active,West Cynthiaville,Construction,United Arab Emirates,51535,Standard,7/16/2025,10/14/2025,193,11614.75,Books,1318,"{""preferred_contact"":""email""}"
CUST066,Wilson-Ward,gthomas@guzman.com,7310666289,19628,11/26/2023,inactive,West Robertburgh,Energy,North Macedonia,97991,Standard,8/15/2022,12/10/2023,62,10094.28,Sports,1902,"{""preferred_contact"":""email""}"
CUST067,Brown-Brown,hflynn@rice.com,3105508920,31073,3/12/2022,inactive,West Johnfurt,Manufacturing,France,93152,Basic,4/23/2022,9/8/2022,60,14027.16,Fashion,3653,"{""preferred_contact"":""email""}"
CUST068,Wolf-Williams,andrea94@mccoy.biz,7058715305,47986,4/20/2023,active,Carolshire,IT,Jordan,96753,Standard,2/20/2022,7/8/2023,133,15100.74,Electronics,4625,"{""preferred_contact"":""email""}"
CUST069,Mills Group,ballen@olsen.com,8883938629,24195,2/11/2021,active,Williammouth,Agriculture,Morocco,38329,Premium,9/18/2022,10/2/2022,132,15643.9,Sports,4290,"{""preferred_contact"":""email""}"
CUST070,"Hatfield, Christensen and Johnson",angela11@atkins.com,6404764388,6676,11/2/2023,active,Traceystad,IT,Saint Lucia,35933,Standard,3/19/2025,3/29/2025,53,6108.93,Grocery,2430,"{""preferred_contact"":""email""}"
CUST071,Frey PLC,schmidtshari@clark-davis.com,3220229665,12789,4/23/2023,inactive,Port Kevinmouth,Construction,Eritrea,3801,Basic,6/6/2024,10/14/2024,128,4535.43,Sports,272,"{""preferred_contact"":""email""}"
CUST072,"Bautista, Howard and Gray",ibrown@crawford.com,2827496769,28729,12/20/2024,inactive,Juliemouth,IT,Brunei Darussalam,21286,Standard,8/6/2022,5/1/2024,19,15597.03,Sports,914,"{""preferred_contact"":""mobile""}"
CUST073,Price-Harris,aprillam@cooper.info,7933236578,28207,9/12/2021,active,Davisbury,Manufacturing,Greenland,78153,Premium,11/23/2022,5/22/2025,132,1508.58,Electronics,4848,"{""preferred_contact"":""mobile""}"
CUST074,Armstrong-Friedman,spearsmatthew@lowe-mclaughlin.com,323253684,14456,11/14/2023,active,Erinberg,Agriculture,Iraq,69131,Standard,11/5/2024,6/27/2025,149,19151.95,Fashion,2131,"{""preferred_contact"":""email""}"
CUST075,Dickerson-Graham,ramirezlisa@garcia-kirby.com,5069599732,49798,3/10/2021,inactive,South Benjaminmouth,IT,Uzbekistan,32104,Premium,8/10/2022,4/11/2025,21,2582.97,Grocery,286,"{""preferred_contact"":""email""}"
CUST076,"Thompson, Olson and Raymond",patrickmartinez@johnson.com,5778587098,40950,11/3/2022,inactive,Lake Shannon,Manufacturing,Iran,91567,Premium,10/6/2022,3/17/2025,14,12064.89,Electronics,678,"{""preferred_contact"":""email""}"
CUST077,Rivera-Wood,joseph22@patterson.com,971618467,8627,6/1/2021,active,Port Rebeccachester,Logistics,Fiji,3069,Premium,5/28/2025,7/19/2025,179,16885.41,Sports,2141,"{""preferred_contact"":""email""}"
CUST078,Combs and Sons,ronald24@hammond.com,5823842072,22179,10/30/2022,inactive,Wilcoxbury,Manufacturing,Turkmenistan,3634,Basic,10/17/2025,10/20/2025,38,1696.93,Electronics,1970,"{""preferred_contact"":""email""}"
CUST079,Mccarty Group,julia74@krause.com,8080286738,21730,8/1/2022,active,Lake Pamelatown,Logistics,Turkmenistan,6166,Standard,8/21/2023,5/5/2025,154,699.47,Electronics,3176,"{""preferred_contact"":""email""}"
CUST080,Callahan LLC,wolfeamy@gamble.com,2658857081,36276,3/7/2024,inactive,Hallview,Retail,Ghana,75176,Premium,11/29/2022,6/8/2023,65,12390.99,Sports,2803,"{""preferred_contact"":""email""}"
CUST081,Fuller-Smith,delacruzhaley@brown.info,3509840251,49414,1/2/2022,inactive,Kristatown,Retail,Poland,96946,Standard,11/26/2024,10/19/2025,81,2767.27,Fashion,4943,"{""preferred_contact"":""email""}"
CUST082,Cherry Group,elizabethmendez@henry.info,9551617377,27541,1/2/2022,active,West Stephen,Manufacturing,Cyprus,94175,Premium,11/1/2020,6/22/2023,64,10101.92,Grocery,4861,"{""preferred_contact"":""email""}"
CUST083,"Wallace, Allison and Cruz",garymelendez@smith-holder.com,714105634,20410,8/11/2025,active,Fernandezbury,Retail,Yemen,19290,Premium,5/22/2025,7/20/2025,118,14093.77,Electronics,4836,"{""preferred_contact"":""email""}"
CUST084,Lowe-Mosley,bgarza@sutton.com,333329469,37595,8/6/2023,active,East Kellyfurt,Construction,Slovakia (Slovak Republic),84031,Premium,2/15/2021,3/4/2025,12,2100.21,Electronics,4428,"{""preferred_contact"":""mobile""}"
CUST085,Silva-Morgan,jevans@kelly-gonzalez.com,2060552369,16302,4/21/2024,active,Greenmouth,IT,Egypt,74655,Basic,3/16/2022,8/10/2025,90,19710.56,Fashion,3200,"{""preferred_contact"":""mobile""}"
CUST086,Lee Ltd,amanda14@chandler.com,9587448247,6544,9/15/2022,inactive,Zacharyville,Energy,Iraq,10299,Basic,4/13/2024,7/25/2025,18,11300.38,Books,3155,"{""preferred_contact"":""email""}"
CUST087,Salazar Ltd,bhensley@martinez.com,7078969300,9714,10/19/2022,inactive,North Kyle,Agriculture,Bangladesh,14027,Basic,8/16/2021,2/27/2025,130,15534.9,Electronics,627,"{""preferred_contact"":""email""}"
CUST088,Cooper Inc,noah31@moore.net,8097221906,48798,12/25/2024,active,Bauerside,Construction,Norfolk Island,48063,Standard,7/17/2022,8/30/2023,97,17608.19,Books,267,"{""preferred_contact"":""email""}"
CUST089,"Castro, Manning and Lozano",stevenklein@warren.com,696240297,37607,10/2/2025,active,Port Yolandamouth,IT,Yemen,78441,Premium,3/23/2022,1/13/2023,153,7279.5,Books,376,"{""preferred_contact"":""email""}"
CUST090,"Salazar, Morales and Henderson",marciabridges@nguyen.org,1099434147,10145,4/22/2023,active,Markton,Energy,Cuba,95618,Basic,9/30/2024,3/24/2025,17,4154.3,Grocery,435,"{""preferred_contact"":""email""}"
CUST091,Sutton-Wright,riveraglen@mora-mccoy.com,8302967485,42779,12/25/2020,active,Elliottstad,Construction,Jersey,3596,Standard,11/10/2021,2/27/2024,139,15830.02,Books,2216,"{""preferred_contact"":""email""}"
CUST092,"Vincent, Quinn and Powell",clinton68@neal.com,5206018900,36707,12/31/2023,inactive,Weeksside,Manufacturing,Monaco,89561,Premium,11/5/2024,9/16/2025,101,711.7,Books,3689,"{""preferred_contact"":""email""}"
CUST093,Rowe Group,riveraelijah@lawrence.com,3329996570,17259,5/25/2025,active,Matthewsbury,Manufacturing,Oman,99722,Basic,11/5/2022,11/12/2024,26,6104.78,Sports,4898,"{""preferred_contact"":""email""}"
CUST094,Cross LLC,jillbrock@thomas.com,2719861054,37779,3/22/2025,active,Adamston,Retail,Uzbekistan,55340,Basic,9/4/2024,9/20/2025,41,10879.55,Fashion,1810,"{""preferred_contact"":""email""}"
CUST095,Diaz-Wilson,hoffmanrichard@rodriguez.com,1838918590,17271,4/17/2023,inactive,South Lisafurt,Logistics,Reunion,902,Premium,9/17/2025,10/10/2025,83,12945.38,Sports,1190,"{""preferred_contact"":""email""}"
CUST096,Scott Ltd,gthompson@alvarez-rodgers.com,3113677039,33448,8/20/2022,active,Johnsonchester,Energy,Barbados,85837,Basic,6/27/2021,4/30/2024,167,6681.23,Fashion,4074,"{""preferred_contact"":""mobile""}"
CUST097,"Burke, Morgan and Velasquez",anthony76@reyes.com,5650866600,25434,12/27/2020,active,Allenborough,Energy,Antigua and Barbuda,15523,Standard,8/11/2024,9/3/2025,77,13435.13,Grocery,2249,"{""preferred_contact"":""mobile""}"
CUST098,Allen-Perez,jennaanderson@richmond-taylor.com,3271058360,22167,5/2/2023,inactive,Wanghaven,Construction,British Indian Ocean Territory (Chagos Archipelago),96524,Premium,4/5/2025,8/5/2025,76,9215.08,Books,4370,"{""preferred_contact"":""mobile""}"
CUST099,Mcgrath-Lee,christinabarnes@cook.info,7919282360,48692,6/18/2022,inactive,South Christopher,Construction,Canada,51908,Basic,11/8/2021,10/1/2025,75,15509.79,Books,746,"{""preferred_contact"":""mobile""}"
CUST100,"Lopez, Mercado and Hunt",ricardo55@jackson.com,4202557105,16071,1/31/2025,inactive,Johnnyborough,Retail,Maldives,61626,Standard,1/6/2023,2/23/2023,22,9238.44,Electronics,1354,"{""preferred_contact"":""mobile""}"
CUST101,Harper-Banks,nstanton@reed.com,8802188628,45069,11/16/2022,active,Johnmouth,Agriculture,Latvia,37628,Premium,12/5/2023,11/3/2024,117,6722.26,Sports,3678,"{""preferred_contact"":""mobile""}"
CUST102,Dominguez Group,jordan58@allen.org,897931027,7731,9/24/2021,inactive,Maryview,Energy,Seychelles,56639,Premium,3/25/2024,7/24/2025,98,13841.44,Grocery,2427,"{""preferred_contact"":""email""}"
CUST103,Johnson Inc,jilljohnson@hanson.com,4446378724,23772,6/3/2023,inactive,Alexanderside,Energy,Saint Kitts and Nevis,73427,Basic,6/10/2025,8/12/2025,66,16052.68,Grocery,2266,"{""preferred_contact"":""email""}"
CUST104,Bailey Ltd,hwheeler@harmon.com,6009049036,42194,7/16/2023,active,Port Pamelaberg,Manufacturing,United Kingdom,57137,Basic,2/18/2022,11/5/2023,29,11137.08,Electronics,2153,"{""preferred_contact"":""email""}"
CUST105,Deleon Group,martinezrodney@reed.com,7891193517,31426,3/12/2021,inactive,West Kim,Construction,Lebanon,39292,Premium,1/27/2024,5/29/2025,43,9841.45,Books,257,"{""preferred_contact"":""email""}"
CUST106,"Leonard, Bailey and Lee",susanjensen@zimmerman.net,3479399333,10312,1/30/2021,inactive,West Melaniemouth,IT,Gibraltar,62724,Premium,11/2/2023,3/8/2025,76,18288,Books,1694,"{""preferred_contact"":""email""}"
CUST107,"Armstrong, Best and Flores",thomasbarr@richards.biz,7378970920,21737,8/3/2022,active,Lake Gerald,Agriculture,Congo,27316,Standard,4/12/2025,7/27/2025,58,1907.23,Books,2642,"{""preferred_contact"":""email""}"
CUST108,"Watson, Foley and Howard",martharichard@perez.com,7620664682,33096,2/26/2022,active,Lake Sean,IT,Guam,93996,Basic,12/24/2021,11/1/2022,179,11148.35,Sports,1393,"{""preferred_contact"":""email""}"
CUST109,Salazar-Smith,romerolarry@wolf.com,761453625,30410,2/23/2023,inactive,South Kennethstad,Construction,French Polynesia,52826,Basic,9/19/2021,3/9/2022,3,11530.79,Books,693,"{""preferred_contact"":""email""}"
CUST110,"Anderson, Davis and Bell",swright@allen.com,3873581137,35558,11/6/2021,active,New Savannahfurt,Manufacturing,Djibouti,904,Basic,10/11/2025,10/13/2025,95,7019.61,Fashion,4977,"{""preferred_contact"":""email""}"
CUST111,Carter-Doyle,kaitlynfarmer@mcbride-gallagher.com,7567774025,22292,10/7/2022,inactive,East Tinaton,Agriculture,Uruguay,72808,Basic,6/4/2021,9/25/2025,7,13277.33,Grocery,2706,"{""preferred_contact"":""email""}"
CUST112,Best PLC,rachellara@collins-acevedo.com,5371923099,22715,4/2/2021,active,Karaville,Energy,Sao Tome and Principe,72358,Premium,9/21/2024,6/17/2025,122,16853.6,Electronics,1246,"{""preferred_contact"":""email""}"
CUST113,Ochoa PLC,mariastevenson@miller-lopez.com,6318680711,8147,10/25/2022,active,Jasonfurt,IT,Romania,55040,Premium,12/22/2022,3/3/2023,50,5830.12,Books,3893,"{""preferred_contact"":""email""}"
CUST114,Kidd-Oliver,brandon55@anderson.com,470807809,18490,9/24/2022,inactive,Samanthamouth,Manufacturing,Estonia,59987,Premium,4/9/2023,11/16/2024,24,255.92,Fashion,2818,"{""preferred_contact"":""email""}"
CUST115,Keith PLC,carolinemclean@kerr.info,3569883647,46633,2/15/2022,inactive,New Meganfurt,Manufacturing,Palestinian Territory,99321,Basic,11/13/2022,1/12/2025,191,19418.03,Books,3891,"{""preferred_contact"":""email""}"
CUST116,Hunt Group,jamesproctor@wolfe.net,7819352395,14196,12/28/2020,inactive,Nelsonport,Construction,Australia,5251,Standard,9/11/2025,10/3/2025,96,15493.36,Fashion,916,"{""preferred_contact"":""email""}"
CUST117,Abbott Inc,richard30@fields.com,4092025147,46849,9/21/2025,active,Vargasland,Energy,Mauritius,27786,Basic,1/20/2022,2/26/2023,63,19097.51,Grocery,2678,"{""preferred_contact"":""email""}"
CUST118,Stevens PLC,burnsscott@doyle.info,5906142562,44989,9/10/2023,active,Jimenezmouth,Agriculture,Portugal,43441,Premium,11/11/2020,11/13/2024,189,12928.06,Books,4534,"{""preferred_contact"":""email""}"
